trade_licence_no,business_name,proprietor_name,trade_category,business_address,ward_name,ward_no,pin_code,pan,gstin,mobile,email,licence_issue_date,licence_expiry_date,licence_status,num_employees,annual_turnover
BBMP/560100/0024,Janatha Printing Group,Anitha Sharma,PRINTING,"846/5, 3rd Main, Hosur Road, Bengaluru, 560100",Hosur Road,139,560100,VCWCH7563P,29VCWCH7563P3ZV,9956665975,,2020-02-22,2027-02-22,CANCELLED,269,43746621.0
BBMP/560058/0026,Karnataka Pipes Manufacturers,Priya Nair,FACTORY,"612/5, Service Road, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,30,560058,HJHCW5295W,29HJHCW5295W8Z6,9405307028,,2007-08-13,2027-08-13,ACTIVE,485,5476523.0
BBMP/560058/0027,Auto Infosys Parts Pvt Ltd,Priya Reddy,FACTORY,"Industrial Road, Peenya, Bengaluru, B'lore",Peenya,139,560058,,,,,1993-09-08,2027-09-08,ACTIVE,787,13120474.0
BBMP/560100/0028,Wipro Pharmaceuticals Factory,Anitha Sharma,PRINTING,"Cross Road, Neeladri Nagar, Bengaluru, B'lore",Neeladri Nagar,3,560100,REEHC1464B,,9587512424,,1993-07-05,2027-07-05,ACTIVE,77,19597010.0
BBMP/560058/0030,Premier Garments Group,Rajesh Reddy,CHEMICAL,"668/8, Service Road, BEL Road, Bengaluru, B'lore",BEL Road,93,560058,ZLVCC4431F,29ZLVCC4431F8ZI,9529982328,,2001-11-18,2027-11-18,ACTIVE,783,26635504.0
BBMP/560058/0032,Global Paints Limited,Rajesh Rao,FOOD,"1st Cross, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,151,560058,LDECT5882Z,29LDECT5882Z6ZW,9102754426,,2022-12-07,2027-12-07,ACTIVE,294,15641147.0
BBMP/560058/0034,Wipro Valves Co,Suresh Nair,FOOD,"801/5, Ring Road, Peenya Industrial Area, Bengaluru, 560058",Peenya Industrial Area,15,560058,QWWFR3377R,,,,1999-05-26,2027-05-26,CANCELLED,705,37643238.0
BBMP/560058/0035,Venkateshwara Paints Limited,Rajesh Nair,PHARMA,"816/1, 2nd Cross, Peenya Industrial Area, Bengaluru, B'lore",Peenya Industrial Area,121,560058,LGKHV7108T,29LGKHV7108T8Z9,,,1991-11-28,2027-11-28,ACTIVE,265,44816789.0
BBMP/560058/0037,Indian Leather Co,Anitha Rao,FACTORY,"Ring Road, Rajajinagar Industrial Estate, Bengaluru, 560058",Rajajinagar Industrial Estate,7,560058,XIKPG1595I,29XIKPG1595I5ZU,9901611993,,1992-01-10,2027-01-10,ACTIVE,351,15199904.0
BBMP/560100/0038,Titan Fabrics Group,Anitha Nair,FACTORY,"1st Cross, Bommanahalli, Bengaluru, B'lore",Bommanahalli,138,560100,PVYHD6469K,29PVYHD6469K4Z4,,,2015-01-26,2027-01-26,ACTIVE,722,6507438.0
BBMP/560100/0039,Mahalaxmi Beverages International,Rajesh Rao,FACTORY,"380/9, Ring Road, Hosur Road, Bengaluru, B'lore",Hosur Road,107,560100,XRVCT4903O,29XRVCT4903O4ZN,9836243579,,1998-01-12,2027-01-12,SUSPENDED,381,1053911.0
BBMP/560100/0042,Balaji Fabrics Private Limited,Anitha Rao,PRINTING,"Service Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,80,560100,NLPAD7168R,29NLPAD7168R4ZR,9345343109,,2007-03-25,2027-03-25,ACTIVE,428,3323842.0
BBMP/560100/0043,Balaji Ceramics International,Rajesh Sharma,FACTORY,"Cross Road, Bommanahalli, Bengaluru, B'lore",Bommanahalli,83,560100,,,9893276164,,2020-05-14,2027-05-14,SUSPENDED,386,7188004.0
BBMP/560058/0046,Balaji Electronics Group,Rajesh Sharma,GARMENT,"279/8, Cross Road, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,120,560058,PKFFQ1426P,,9743520276,,1993-07-23,2027-07-23,ACTIVE,61,15460106.0
BBMP/560100/0048,Bengaluru Metals Factory,Anitha Sharma,FACTORY,"406/5, Cross Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,90,560100,IENCD5173U,29IENCD5173U4Z6,9311818984,,2015-05-23,2027-05-23,ACTIVE,182,18568629.0
BBMP/560100/0049,Srinivasa Leather Factory,Rajesh Rao,PRINTING,"155/8, 2nd Cross, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,97,560100,,,9425150964,,2010-02-28,2027-02-28,CANCELLED,286,28151460.0
BBMP/560100/0050,Srinivasa Valves Corporation,Priya Reddy,FACTORY,"394/8, Service Road, Neeladri Nagar, Bengaluru, B'lore",Neeladri Nagar,115,560100,LVQPK6594Z,29LVQPK6594Z6Z5,9285283722,,1995-05-01,2027-05-01,ACTIVE,45,43643471.0
BBMP/560100/0051,Wipro Cables Enterprises,Rajesh Kumar,FACTORY,"2nd Cross, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,77,560100,,,9405100495,,1993-05-25,2027-05-25,ACTIVE,263,38693590.0
BBMP/560058/0052,KS Leather & Co,Suresh Rao,FACTORY,"Cross Road, Peenya, Bengaluru, B'lore",Peenya,42,560058,VRVHX9906Q,29VRVHX9906Q6ZJ,9329987621,,2015-06-23,2027-06-23,ACTIVE,354,36843563.0
BBMP/560058/0053,Royal Printing Corporation,Suresh Sharma,FACTORY,"898/3, 2nd Cross, Peenya 2nd Stage, Bengaluru, B'lore",Peenya 2nd Stage,193,560058,EVUCZ9703X,,9405939035,,1992-07-01,2027-07-01,ACTIVE,775,32617442.0
BBMP/560100/0054,Titan Ceramics Factory,Rajesh Rao,FACTORY,"797/7, 1st Cross, Hosur Road, Bengaluru, 560100",Hosur Road,35,560100,ZVUFE8043D,29ZVUFE8043D9Z7,9919390458,,2018-11-07,2027-11-07,ACTIVE,169,7641174.0
BBMP/560100/0056,Pharmaceuticals Royal Ltd,Ramesh Kumar,FACTORY,"245/7, Main Road, Bommanahalli, Bengaluru, 560100",Bommanahalli,73,560100,LCXAT5657J,29LCXAT5657J6ZF,9301126777,,2009-03-06,2027-03-06,ACTIVE,685,7194565.0
BBMP/560058/0058,Garments Indian Enterprises,Rajesh Kumar,FACTORY,"3rd Main, Yeshwanthpur, Bengaluru, 560058",Yeshwanthpur,101,560058,TEJPY0627N,29TEJPY0627N8ZO,,,2009-05-04,2027-05-04,CANCELLED,513,25339971.0
BBMP/560058/0059,Sunrise Pumps Private Limited,Anitha Reddy,FACTORY,"Cross Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",Rajajinagar Industrial Estate,91,560058,LSEHO3083N,29LSEHO3083N1Z4,9536164913,,2008-06-26,2027-06-26,ACTIVE,377,28295489.0
BBMP/560100/0061,Karnataka Engg. Pvt. Ltd.,Ramesh Rao,PHARMA,"Industrial Road, Hosur Road, Bengaluru, 560100",Hosur Road,22,560100,RSOHJ8879U,,9340777602,,1994-12-14,2027-12-14,ACTIVE,129,43454376.0
BBMP/560100/0062,Balaji Rubber International,Suresh Nair,FACTORY,"408/8, 1st Cross, Bommanahalli, Bengaluru, 560100",Bommanahalli,42,560100,VBZFU0451Y,29VBZFU0451Y3Z8,9159499094,,1995-02-07,2027-02-07,SUSPENDED,132,46653212.0
BBMP/560100/0063,Bangalore Foods Co,Rajesh Sharma,FACTORY,"630/9, 1st Cross, Electronic City Phase 1, Bengaluru, B'lore",Electronic City Phase 1,64,560100,,,9735449477,,2007-02-10,2027-02-10,ACTIVE,599,41116989.0
BBMP/560100/0065,Royal Packaging Works,Ramesh Kumar,FOOD,"478/2, Factory Road, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,138,560100,DBYCT4998S,29DBYCT4998S4ZA,9652681586,,1996-07-06,2027-07-06,ACTIVE,483,22232498.0
BBMP/560058/0066,Premier Packaging Industries,Anitha Reddy,FACTORY,"612/8, Ring Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",Rajajinagar Industrial Estate,43,560058,WLWPX3400R,,,,1993-12-11,2027-12-11,ACTIVE,400,29527582.0
BBMP/560058/0067,Mahalaxmi Steel Enterprises,Anitha Nair,FOOD,"774/3, 2nd Cross, Yeshwanthpur, Bengaluru, 560058",Yeshwanthpur,177,560058,KBBAW3446Q,,9274485243,,2011-11-10,2027-11-10,ACTIVE,407,22900125.0
BBMP/560100/0068,KS Auto Parts Corporation,Suresh Rao,PRINTING,"2nd Cross, Electronic City Phase 2, Bengaluru, B'lore",Electronic City Phase 2,71,560100,HXWAU0497Y,29HXWAU0497Y4Z3,,,1991-02-21,2027-02-21,ACTIVE,541,11412198.0
BBMP/560058/0069,Engineering New Ltd,Priya Reddy,PRINTING,"2nd Cross, BEL Road, Bengaluru, 560058",BEL Road,143,560058,KUXCX7755V,29KUXCX7755V7ZK,9672440825,,1991-10-17,2027-10-17,ACTIVE,355,45821601.0
BBMP/560100/0070,Foods Global Ltd,Anitha Reddy,PRINTING,"231/5, 1st Cross, Neeladri Nagar, Bengaluru, B'lore",Neeladri Nagar,84,560100,RMMCR9721V,29RMMCR9721V7ZM,,,2007-02-20,2027-02-20,ACTIVE,302,27415774.0
BBMP/560100/0071,Karnataka Pumps Works,Anitha Rao,FACTORY,"1st Cross, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,166,560100,GBXAH6047D,29GBXAH6047D3Z0,9536913550,,2007-03-10,2027-03-10,ACTIVE,673,18490459.0
BBMP/560100/0072,Srinivasa Garments International,Anitha Sharma,CHEMICAL,"Factory Road, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,93,560100,KVYCB9349J,29KVYCB9349J1ZJ,9215213239,,1995-10-15,2027-10-15,ACTIVE,348,42366243.0
BBMP/560100/0073,Karnataka Motors Pvt Ltd,Rajesh Kumar,CHEMICAL,"664/5, Ring Road, Electronic City Phase 1, Bengaluru, 560100",Electronic City Phase 1,98,560100,TUOPY1664N,29TUOPY1664N2ZP,9298407302,,2011-03-07,2027-03-07,ACTIVE,148,31042775.0
BBMP/560100/0074,Pipes Premier Factory,Suresh Kumar,CHEMICAL,"2nd Cross, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,42,560100,,,9429430802,,1990-07-15,2027-07-15,SUSPENDED,168,46169412.0
BBMP/560100/0077,Venkateshwara Cables Pvt. Ltd.,Suresh Sharma,FACTORY,"460/7, 3rd Main, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,28,560100,DWDAR3198Y,,9823164961,,2016-11-22,2027-11-22,ACTIVE,741,26980367.0
BBMP/560100/0079,KS Electricals Co,Ramesh Sharma,FACTORY,"282/1, 1st Cross, Hosur Road, Bengaluru, 560100",Hosur Road,83,560100,WXQAN5036M,29WXQAN5036M6ZQ,9422002819,,2004-09-10,2027-09-10,ACTIVE,390,39354932.0
BBMP/560058/0080,Southern Garments Works,Suresh Rao,PHARMA,"543/3, Service Road, BEL Road, Bengaluru, B'lore",BEL Road,33,560058,FQXHL0712V,29FQXHL0712V1Z4,,,2016-04-04,2027-04-04,ACTIVE,606,13992767.0
BBMP/560058/0081,Southern Foods & Co,Anitha Sharma,FACTORY,"937/4, Ring Road, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,107,560058,KGICJ3532Q,29KGICJ3532Q8Z6,9604111500,,1997-02-01,2027-02-01,ACTIVE,784,36212706.0
BBMP/560058/0082,Shree Chemicals Works,Anitha Reddy,FOOD,"Industrial Road, Rajajinagar Industrial Estate, Bengaluru, 560058",Rajajinagar Industrial Estate,53,560058,VMRAV3747X,29VMRAV3747X3ZM,9873430762,,2016-06-02,2027-06-02,CANCELLED,564,46083780.0
BBMP/560058/0083,Royal Textiles Traders,Ramesh Sharma,GARMENT,"70/3, Factory Road, Peenya 1st Stage, Bengaluru, 560058",Peenya 1st Stage,69,560058,,,9500721199,,1998-12-17,2027-12-17,ACTIVE,66,20865776.0
BBMP/560058/0084,Modern Metals Industries,Anitha Nair,FACTORY,"1st Cross, Yeshwanthpur, Bengaluru, 560058",Yeshwanthpur,173,560058,,,9562324458,,1991-11-16,2027-11-16,ACTIVE,188,41204143.0
BBMP/560100/0085,Janatha Steel Pvt.Ltd,Rajesh Rao,CHEMICAL,"Ring Road, Hosur Road, Bengaluru, B'lore",Hosur Road,92,560100,HVCCU7035B,,,,2013-06-09,2027-06-09,CANCELLED,665,14372622.0
BBMP/560100/0086,Fabrics Sri Co,Ramesh Reddy,CHEMICAL,"184/6, Main Road, Neeladri Nagar, Bengaluru, B'lore",Neeladri Nagar,160,560100,,,9254824511,,2007-08-27,2027-08-27,ACTIVE,775,40621740.0
BBMP/560100/0087,JSW Steel Group,Priya Sharma,FACTORY,"Cross Road, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,29,560100,,,,,1998-10-22,2027-10-22,ACTIVE,353,24298984.0
BBMP/560100/0089,Fabrics Mahalaxmi Industries,Priya Nair,FACTORY,"2nd Cross, Hosur Road, Bengaluru, 560100",Hosur Road,25,560100,,,9562760731,,2009-04-22,2027-04-22,ACTIVE,464,46204293.0
BBMP/560100/0090,Shree Pharmaceuticals Traders,Rajesh Reddy,FACTORY,"927/4, Service Road, Bommanahalli, Bengaluru, B'lore",Bommanahalli,180,560100,REGCI4044P,29REGCI4044P6ZG,9771124810,,2014-02-08,2027-02-08,ACTIVE,512,42895485.0
BBMP/560100/0091,Motors Infosys Corporation,Priya Sharma,PRINTING,"441/3, 2nd Cross, Hosur Road, Bengaluru, 560100",Hosur Road,1,560100,YFIAM9264S,29YFIAM9264S6ZO,9943817764,,2011-09-02,2027-09-02,SUSPENDED,407,41101917.0
BBMP/560058/0092,Foods New Mfrs,Anitha Sharma,PHARMA,"Cross Road, Peenya 1st Stage, Bengaluru, B'lore",Peenya 1st Stage,44,560058,QGRCW4345S,29QGRCW4345S9ZQ,9949030118,,2008-05-20,2027-05-20,SUSPENDED,373,10852017.0
BBMP/560100/0093,Srinivasa Rubber Industries,Rajesh Reddy,FOOD,"109/1, 3rd Main, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,29,560100,,,9901927335,,2015-02-28,2027-02-28,ACTIVE,536,7065535.0
BBMP/560058/0094,Shree Auto Parts Pvt Ltd,Suresh Reddy,FACTORY,"119/3, Cross Road, BEL Road, Bengaluru, 560058",BEL Road,131,560058,LFMHP0740B,29LFMHP0740B2Z1,9217427280,,2008-02-06,2027-02-06,ACTIVE,698,49666601.0
BBMP/560100/0095,Motors Bengaluru Traders,Anitha Rao,PHARMA,"406/1, 3rd Main, Electronic City Phase 1, Bengaluru, B'lore",Electronic City Phase 1,191,560100,LLACG2780D,,,,2001-03-19,2027-03-19,ACTIVE,473,22433952.0
BBMP/560100/0096,Mahalaxmi Packaging Enterprises,Anitha Sharma,PRINTING,"834/5, Industrial Road, Neeladri Nagar, Bengaluru, B'lore",Neeladri Nagar,161,560100,CDDAJ1313T,,9299451515,,2019-12-24,2027-12-24,ACTIVE,503,28021169.0
BBMP/560100/0097,Electronics Balaji Entp,Priya Sharma,CHEMICAL,"Main Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,192,560100,DVZFQ6447O,29DVZFQ6447O2Z1,,,2018-04-23,2027-04-23,ACTIVE,38,42017734.0
BBMP/560058/0098,Mahalaxmi Chemicals Group,Ramesh Nair,PRINTING,"779/8, Main Road, Yeshwanthpur, Bengaluru, B'lore",Yeshwanthpur,162,560058,CVTFJ8028C,29CVTFJ8028C2ZF,9892005907,,2013-09-06,2027-09-06,ACTIVE,607,49460386.0
BBMP/560058/0099,Garments Janatha Factory,Priya Kumar,FACTORY,"612/9, 1st Cross, Yeshwanthpur, Bengaluru, 560058",Yeshwanthpur,140,560058,HGWHV8174B,29HGWHV8174B3Z8,9863854401,,2012-02-27,2027-02-27,ACTIVE,334,49944682.0
BBMP/560100/0100,Infosys Foundry Pvt Ltd,Anitha Sharma,FACTORY,"768/5, Service Road, Hosur Road, Bengaluru, B'lore",Hosur Road,71,560100,LMPHY8096W,,9561325766,,1995-09-22,2027-09-22,SUSPENDED,221,10930326.0
BBMP/560100/0101,Ceramics Indian Group,Rajesh Reddy,FACTORY,"642/8, Cross Road, Bommanahalli, Bengaluru, 560100",Bommanahalli,177,560100,,,9573827182,,1993-07-15,2027-07-15,ACTIVE,472,39347668.0
BBMP/560058/0102,Leather Lakshmi Entp,Rajesh Rao,CHEMICAL,"2nd Cross, Peenya Industrial Area, Bengaluru, 560058",Peenya Industrial Area,37,560058,,,9879524067,,2006-03-06,2027-03-06,CANCELLED,721,27016584.0
BBMP/560100/0104,Raghavendra Foundry Corporation,Rajesh Rao,PRINTING,"Cross Road, Bommanahalli, Bengaluru, B'lore",Bommanahalli,145,560100,JLUFH2056T,,9751682766,,2003-07-14,2027-07-14,ACTIVE,526,4700514.0
BBMP/560100/0106,Steel New Pvt Ltd,Priya Kumar,FACTORY,"Cross Road, Electronic City Phase 2, Bengaluru, B'lore",Electronic City Phase 2,9,560100,ZEICS6860W,,,,1999-08-24,2027-08-24,ACTIVE,123,27271565.0
BBMP/560058/0107,New Electricals & Co,Ramesh Kumar,GARMENT,"976/6, Ring Road, Peenya, Bengaluru, 560058",Peenya,49,560058,EDUHI7183N,29EDUHI7183N2ZG,,,1990-02-25,2027-02-25,SUSPENDED,83,21770622.0
BBMP/560058/0108,Royal Engg. International,Ramesh Reddy,CHEMICAL,"3/1, Service Road, Peenya, Bengaluru, 560058",Peenya,137,560058,GMJPE1908W,29GMJPE1908W7ZE,,,1997-12-10,2027-12-10,CANCELLED,742,28583774.0
BBMP/560058/0109,Lakshmi Foundry Corporation,Ramesh Sharma,FACTORY,"1st Cross, Peenya 1st Stage, Bengaluru, B'lore",Peenya 1st Stage,189,560058,JHUPX6454Y,29JHUPX6454Y9ZF,9540272920,,2008-08-14,2027-08-14,ACTIVE,29,39017799.0
BBMP/560058/0110,United Pipes & Co,Suresh Reddy,FACTORY,"Factory Road, Peenya Industrial Area, Bengaluru, B'lore",Peenya Industrial Area,76,560058,ZDHPB9857L,29ZDHPB9857L2Z6,9784205125,,2009-07-25,2027-07-25,SUSPENDED,408,6918149.0
BBMP/560100/0114,Paper Venkateshwara Traders,Rajesh Kumar,GARMENT,"Main Road, Hosur Road, Bengaluru, 560100",Hosur Road,106,560100,XHLCE0622N,29XHLCE0622N8Z3,9511259527,,2015-09-08,2027-09-08,ACTIVE,145,25897478.0
BBMP/560058/0115,Janatha Paints Enterprises,Priya Sharma,FACTORY,"353/9, Ring Road, Yeshwanthpur, Bengaluru, B'lore",Yeshwanthpur,13,560058,EIFHZ7095Y,29EIFHZ7095Y4ZA,9805302800,,2020-01-16,2027-01-16,ACTIVE,251,32129100.0
BBMP/560058/0117,New Electronics International,Priya Kumar,FACTORY,"Main Road, Peenya Industrial Area, Bengaluru, 560058",Peenya Industrial Area,161,560058,WYJAV3131F,,9287048690,,2010-07-18,2027-07-18,ACTIVE,729,27776933.0
BBMP/560058/0118,Pipes KS & Co,Rajesh Sharma,FACTORY,"747/1, Industrial Road, Peenya, Bengaluru, 560058",Peenya,142,560058,KZZAB1386U,29KZZAB1386U8Z9,9183544242,,2008-08-28,2027-08-28,ACTIVE,248,17802417.0
BBMP/560100/0119,Shree Chemicals Ltd,Anitha Reddy,PHARMA,"Cross Road, Kudlu Gate, Bengaluru, B'lore",Kudlu Gate,38,560100,BLKPF8435D,29BLKPF8435D4ZA,9958128631,,2005-01-02,2027-01-02,ACTIVE,39,8833455.0
BBMP/560100/0121,Mahalaxmi Textiles Ltd,Anitha Nair,FACTORY,"1st Cross, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,128,560100,UMXHI0518L,,,,2000-10-13,2027-10-13,ACTIVE,481,4418282.0
BBMP/560058/0122,Packaging Raghavendra Group,Rajesh Rao,FACTORY,"Factory Road, Peenya 1st Stage, Bengaluru, 560058",Peenya 1st Stage,80,560058,KNWAP5223W,,,,2016-11-12,2027-11-12,ACTIVE,590,33096743.0
BBMP/560058/0123,Garments Balaji Traders,Ramesh Rao,FACTORY,"207/3, 3rd Main, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,95,560058,ISUHC3332O,29ISUHC3332O1ZX,9545004139,,1995-06-28,2027-06-28,ACTIVE,158,12272739.0
BBMP/560058/0124,United Printing International,Ramesh Rao,CHEMICAL,"1st Cross, BEL Road, Bengaluru, 560058",BEL Road,12,560058,AHDFT6438W,,9499905152,,2012-03-06,2027-03-06,ACTIVE,25,2850065.0
BBMP/560058/0125,Pipes KS Mfg,Ramesh Rao,FOOD,"3rd Main, Rajajinagar Industrial Estate, Bengaluru, 560058",Rajajinagar Industrial Estate,27,560058,XKMCQ8851J,29XKMCQ8851J7Z8,9710607239,,2010-09-24,2027-09-24,CANCELLED,34,15590180.0
BBMP/560100/0126,Bangalore Packaging Corporation,Rajesh Kumar,FACTORY,"3rd Main, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,5,560100,JPECP5318X,29JPECP5318X2ZI,9153312407,,2019-06-03,2027-06-03,SUSPENDED,171,17033692.0
BBMP/560100/0128,Engineering Raghavendra Mfrs,Suresh Reddy,CHEMICAL,"1st Cross, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,189,560100,RYQHG1788Z,,9874471936,,1994-08-19,2027-08-19,CANCELLED,31,34731682.0
BBMP/560058/0129,Star Paints Ltd,Priya Sharma,FACTORY,"2nd Cross, Peenya 2nd Stage, Bengaluru, 560058",Peenya 2nd Stage,1,560058,ECDAI7599K,29ECDAI7599K4ZM,9429730298,,2020-06-10,2027-06-10,ACTIVE,435,32997887.0
BBMP/560100/0131,Balaji Rubber Traders,Ramesh Rao,FACTORY,"3rd Main, Hosur Road, Bengaluru, 560100",Hosur Road,89,560100,NSYPK7500X,,9469742752,,2017-03-22,2027-03-22,ACTIVE,324,2585205.0
BBMP/560058/0133,New Engineering Traders,Anitha Rao,GARMENT,"561/5, Cross Road, BEL Road, Bengaluru, B'lore",BEL Road,187,560058,FRACN6626E,29FRACN6626E2ZW,,,2018-08-26,2027-08-26,ACTIVE,121,2084713.0
BBMP/560058/0134,New Metals Limited,Priya Nair,FACTORY,"509/4, Service Road, Peenya Industrial Area, Bengaluru, B'lore",Peenya Industrial Area,56,560058,IARFD8610Q,,9791851361,,2000-12-26,2027-12-26,ACTIVE,241,18628971.0
BBMP/560100/0135,Ceramics Janatha Entp,Anitha Sharma,FACTORY,"Cross Road, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,37,560100,,,9794924237,,2017-10-21,2027-10-21,ACTIVE,179,35800635.0
BBMP/560100/0136,Mahalaxmi Steel Traders,Ramesh Kumar,FOOD,"707/8, 3rd Main, Electronic City Phase 2, Bengaluru, 560100",Electronic City Phase 2,69,560100,CSBCF1945O,,,,2019-04-22,2027-04-22,SUSPENDED,631,33972859.0
BBMP/560100/0137,Indian Metals Manufacturers,Anitha Sharma,FACTORY,"1st Cross, Bommanahalli, Bengaluru, B'lore",Bommanahalli,88,560100,,,9924127682,,1992-01-06,2027-01-06,ACTIVE,766,36082898.0
BBMP/560058/0138,Raghavendra Pipes Ltd,Suresh Sharma,FACTORY,"3rd Main, Rajajinagar Industrial Estate, Bengaluru, 560058",Rajajinagar Industrial Estate,198,560058,BQEAP8804H,29BQEAP8804H5Z3,9691090113,,2020-12-16,2027-12-16,ACTIVE,663,14356973.0
BBMP/560058/0139,Mphasis Plastics Pvt Ltd,Priya Rao,PHARMA,"106/7, Main Road, Peenya 2nd Stage, Bengaluru, B'lore",Peenya 2nd Stage,144,560058,OVUAT6856O,29OVUAT6856O6Z3,9587972689,,2021-05-19,2027-05-19,SUSPENDED,344,49888699.0
